_050620_180132_CONF.csv
===============================
CONFIGURATION,001
File,C:\Mollie\EPON\conf_001.h
Last modified,Sat Sep  9 17:40:40 2006
Last compiled,May  6 2020 17:50:02
===============================
===============================
SIMULATION,001
File,C:\Mollie\EPON\test_001.h
Last modified,Sat Sep  9 21:05:18 2006
Last compiled,May  6 2020 17:50:02
===============================
Packet Limit,1000000
Warm-up time (seconds),10
Minimum Load,0.0500000007451
Maximum Load,0.899999976158
Number of Tests,18
-----------------------------
Traffic Type,Bursty (Self-similar)
-------------------------------------------
OLT HW Delay (ns),16384
ONU HW Delay (ns),16384
Guard Band Time (ns),1000
-------------------------------------------
Number of LLIDs,16
ONU Buffer Size (bytes),1048576
Minimum Link Distance (m),500
Maximum Link Distance (m),20000
