_051120_184153_CONF.csv
===============================
CONFIGURATION,001
File,C:\Mollie\EPON\conf_001.h
Last modified,Sat May  9 14:29:56 2020
Last compiled,May 11 2020 18:41:21
===============================
===============================
SIMULATION,001
File,C:\Mollie\EPON\test_001.h
Last modified,Mon May 11 18:41:02 2020
Last compiled,May 11 2020 18:41:21
===============================
Packet Limit,1000000
Warm-up time (seconds),10
Minimum Load,0.0500000007451
Maximum Load,0.899999976158
Number of Tests,18
-----------------------------
Traffic Type,Bursty (Self-similar)
-------------------------------------------
OLT HW Delay (ns),16384
ONU HW Delay (ns),16384
Guard Band Time (ns),1000
-------------------------------------------
Number of LLIDs,16
ONU Buffer Size (bytes),10485760
Minimum Link Distance (m),500
Maximum Link Distance (m),20000
